# Authoritative poster list from the ESA Heliophysics posters page:
#   https://www.cosmos.esa.int/web/esa-heliophysics/posters
# Kept in sync manually: crosscheck name/number/topic when named new posters.
# Titles may drift slightly between the website and the uploaded PDF — the
# website wins for poster number, topic and author.
#
# Columns: poster,topic,authors,title
poster,topic,authors,title
59,2,"Federica Guarnaccia","The SMOS mission: A New Eye on Solar Radio Emissions"
60,3,"Balazs Heilig","Subauroral plasma boundaries and associated magnetospheric phenomena"
61,3,"Simon Mackovjak","Cleanroom facilities for Heliophysics missions"
62,1,"Chandan Mandal","OXYGEN AS A NEW WINDOW INTO THE HELIOSPHERE"
63,3,"Eirini Nakopoulou","Comparison between Geomagnetic Storms of Different Intensities and their Correlation with Magnetospheric Substorms"
64,3,"Daniil Papakonstantinou","Web application for retrospective geomagnetic storm detection, main phase analysis and identification of solar wind influence on storm intensity"
65,1,"Brigitte Schmieder","Total Eclipse on August 12, 2026: observations in Spain, in space and predictions with COCONUT and others"
66,3,"Konstantina Thanasoula","Calculation of Radial Diffusion Coefficients using combined data from RBSP and THEMIS missions"
67,2,"Mate Tomasik","MOSIAC 3D Empirical Model of the Midlatitude Ionospheric Trough Based on Swarm Observations"
68,3,"Nicolina Chrysaphi","Bridging Gaps in Heliospheric Radio Data Analyses"
69,1,"Ahmad Lalti","Solar Magnetic Configuration Control over Radiation Belt Electrons"
